first_name,last_name,date_of_birth,gender,ssn,address,state,zip_code,income,credit_score,employment_status,loan_amount,loan_type,loan_status,num_existing_loans,default
Deborah,Gray,12/10/1961,Male,488-78-5805,"56359 Bentley Inlet, Muellertown, AR 37130",Rhode Island,72407,35405.77,409,Self-employed,31471.76,Education Loan,Running,0,1
Kim,Mcdaniel,8/28/1963,Female,347-63-7206,"89579 Michael Overpass Suite 864, Kaitlinchester, ND 12010",Indiana,75902,89219.95,784,Retired,43665.26,Personal Loan,Running,2,0
Derrick,Smith,12/19/1984,Female,134-44-5022,"076 Kevin Curve Apt. 089, Vanessaview, MI 67175",Missouri,66414,93182.9,620,Retired,89326.8,Personal Loan,Completed,1,0
Sergio,Watkins,7/27/1988,Male,400-01-9105,"537 Vanessa Burgs, East Carlside, IN 82601",New Hampshire,29415,84424.19,514,Retired,67411.29,Auto Loan,Running,3,1
Marcus,Neal,4/17/1972,Female,198-45-8356,"850 Huff Square Suite 853, Richardville, OH 52294",Delaware,66413,137224.02,662,Student,92120.11,Auto Loan,Running,5,0
Louis,Edwards,7/11/1994,Male,865-78-0346,"USS Black, FPO AE 77217",Idaho,69077,194047.19,436,Student,18663.85,Auto Loan,Running,3,1
Rodney,Barnes,10/2/1993,Female,459-32-7898,"81800 Hutchinson Squares, Lake Tammy, NY 87606",Vermont,78676,123674.53,738,Unemployed,62951.98,Education Loan,Completed,2,1
April,Johnson,9/27/1983,Female,518-22-6130,"38023 Victoria Rapid Suite 948, Lake Gary, IA 28564",Minnesota,83580,47786.06,789,Self-employed,87580.13,Home Loan,Running,5,0
Caitlin,White,8/31/1984,Male,160-32-7614,"201 Phillips Hills Suite 445, Lake Vincent, CT 07161",Colorado,65640,31983.77,699,Employed,69524.07,Credit Card Loan,Completed,0,1
Jared,Taylor,4/24/1969,Female,287-70-1878,"01890 Douglas Mews Apt. 588, West Jamesfort, DE 86429",North Dakota,90835,164345.92,381,Student,88781.93,Education Loan,Running,2,1
Joseph,Fields,5/10/1993,Male,462-85-4484,"751 Walker Common Apt. 186, Patriciaview, AZ 42937",Kentucky,53327,193767.23,581,Student,11176.78,Home Loan,Running,3,0
Jeffery,Turner,11/7/1997,Female,024-31-9706,"USS Edwards, FPO AE 27172",Alaska,6729,199913.48,646,Self-employed,92165.91,Auto Loan,Running,1,0
Jasmine,Jones,7/6/1985,Male,633-20-2415,"681 Corey Falls Suite 186, Carlastad, OH 35449",Wyoming,38148,29060.21,694,Unemployed,42450.22,Auto Loan,Running,2,1
Isaac,Crawford,10/28/1996,Male,656-04-8974,"6055 Anthony Lakes Apt. 291, Port Veronica, CA 03980",Illinois,38120,160790.89,550,Self-employed,72895.41,Auto Loan,Running,0,1
Ashley,Green,10/12/1977,Male,418-61-2494,"308 Allen Forge Suite 899, North Bryanfort, IL 49855",New Mexico,8906,146689.34,306,Unemployed,64696.32,Education Loan,Completed,3,1
Thomas,Mcdaniel,3/24/1978,Female,517-58-1997,"59968 Jean Vista, Erinhaven, VA 51954",South Carolina,96684,109630.05,724,Unemployed,35713.1,Home Loan,Running,4,1
Jennifer,Sanders,2/18/1992,Male,778-01-8092,"85887 Lawrence Land Suite 661, South Autumnborough, MT 72868",Ohio,29225,129858.1,504,Retired,63665.68,Credit Card Loan,Completed,4,1
Donald,Lopez,1/4/1983,Male,431-18-6349,"6944 Wilson Estates Suite 909, West John, IN 56895",Mississippi,7729,78064.36,496,Employed,44400.05,Credit Card Loan,Completed,5,1
